method,recall@10,recall@20,mrr@10,ndcg@10,ranking_p95_ms
bm25,0.7849444444444444,0.8258888888888888,0.6325026455026455,0.6644511502901209,37.063305010087795
dense,0.7743333333333333,0.8280000000000001,0.5783888888888888,0.6238596288000935,43.53057499974966
hybrid,0.8255555555555555,0.8835555555555555,0.6370634920634921,0.6793060972348618,42.05273497791497
